symbol,hex,code,name,category,entities,set,tags
 ,0020,32,space,Basic Latin,,Spaces,
!,0021,33,exclamation mark,Basic Latin,excl,,
"""",0022,34,quotation mark,Basic Latin,QUOT quot,Quotes,quote
#,0023,35,number sign,Basic Latin,num,,
$,0024,36,dollar sign,Basic Latin,dollar,Currencies,currency
%,0025,37,percent sign,Basic Latin,percnt,Fractions,0/0 fraction
&,0026,38,ampersand,Basic Latin,AMP amp,,and et
',0027,39,apostrophe,Basic Latin,apos,Quotes,quote
(,0028,40,left parenthesis,Basic Latin,lpar,,
),0029,41,right parenthesis,Basic Latin,rpar,,
*,002A,42,asterisk,Basic Latin,ast midast,,. star
+,002B,43,plus sign,Basic Latin,plus,,
",",002C,44,comma,Basic Latin,comma,,
-,002D,45,hyphen-minus,Basic Latin,,Dashes,– —
.,002E,46,full stop,Basic Latin,period,,dot
/,002F,47,solidus,Basic Latin,sol,,slash fraction
0,0030,48,digit zero,Basic Latin,,,
1,0031,49,digit one,Basic Latin,,,
2,0032,50,digit two,Basic Latin,,,
3,0033,51,digit three,Basic Latin,,,
4,0034,52,digit four,Basic Latin,,,
5,0035,53,digit five,Basic Latin,,,
6,0036,54,digit six,Basic Latin,,,
7,0037,55,digit seven,Basic Latin,,,
8,0038,56,digit eight,Basic Latin,,,
9,0039,57,digit nine,Basic Latin,,,
:,003A,58,colon,Basic Latin,colon,,
;,003B,59,semicolon,Basic Latin,semi,,:
<,003C,60,less-than sign,Basic Latin,LT lt,Arrows,< left arrow
=,003D,61,equals sign,Basic Latin,equals,,
>,003E,62,greater-than sign,Basic Latin,GT gt,Arrows,> right arrow
?,003F,63,question mark,Basic Latin,quest,,
@,0040,64,commercial at,Basic Latin,commat,,a
A,0041,65,latin capital letter a,Basic Latin,,,
B,0042,66,latin capital letter b,Basic Latin,,,
C,0043,67,latin capital letter c,Basic Latin,,,
D,0044,68,latin capital letter d,Basic Latin,,,
E,0045,69,latin capital letter e,Basic Latin,,,
F,0046,70,latin capital letter f,Basic Latin,,,
G,0047,71,latin capital letter g,Basic Latin,,,
H,0048,72,latin capital letter h,Basic Latin,,,
I,0049,73,latin capital letter i,Basic Latin,,,
J,004A,74,latin capital letter j,Basic Latin,,,
K,004B,75,latin capital letter k,Basic Latin,,,
L,004C,76,latin capital letter l,Basic Latin,,,
M,004D,77,latin capital letter m,Basic Latin,,,
N,004E,78,latin capital letter n,Basic Latin,,,
O,004F,79,latin capital letter o,Basic Latin,,,
P,0050,80,latin capital letter p,Basic Latin,,,
Q,0051,81,latin capital letter q,Basic Latin,,,
R,0052,82,latin capital letter r,Basic Latin,,,
S,0053,83,latin capital letter s,Basic Latin,,,
T,0054,84,latin capital letter t,Basic Latin,,,
U,0055,85,latin capital letter u,Basic Latin,,,
V,0056,86,latin capital letter v,Basic Latin,,,
W,0057,87,latin capital letter w,Basic Latin,,,
X,0058,88,latin capital letter x,Basic Latin,,,
Y,0059,89,latin capital letter y,Basic Latin,,,
Z,005A,90,latin capital letter z,Basic Latin,,,
[,005B,91,left square bracket,Basic Latin,lbrack lsqb,,(
\,005C,92,reverse solidus,Basic Latin,bsol,,backslash slash
],005D,93,right square bracket,Basic Latin,rbrack rsqb,,)
^,005E,94,circumflex accent,Basic Latin,Hat,,exponent
_,005F,95,low line,Basic Latin,UnderBar lowbar,,-
`,0060,96,grave accent,Basic Latin,DiacriticalGrave grave,,
a,0061,97,latin small letter a,Basic Latin,,,
b,0062,98,latin small letter b,Basic Latin,,,
c,0063,99,latin small letter c,Basic Latin,,,
d,0064,100,latin small letter d,Basic Latin,,,
e,0065,101,latin small letter e,Basic Latin,,,
f,0066,102,latin small letter f,Basic Latin,,,
g,0067,103,latin small letter g,Basic Latin,,,
h,0068,104,latin small letter h,Basic Latin,,,
i,0069,105,latin small letter i,Basic Latin,,,
j,006A,106,latin small letter j,Basic Latin,,,
k,006B,107,latin small letter k,Basic Latin,,,
l,006C,108,latin small letter l,Basic Latin,,,
m,006D,109,latin small letter m,Basic Latin,,,
n,006E,110,latin small letter n,Basic Latin,,,
o,006F,111,latin small letter o,Basic Latin,,,
p,0070,112,latin small letter p,Basic Latin,,,
q,0071,113,latin small letter q,Basic Latin,,,
r,0072,114,latin small letter r,Basic Latin,,,
s,0073,115,latin small letter s,Basic Latin,,,
t,0074,116,latin small letter t,Basic Latin,,,
u,0075,117,latin small letter u,Basic Latin,,,
v,0076,118,latin small letter v,Basic Latin,,,
w,0077,119,latin small letter w,Basic Latin,,,
x,0078,120,latin small letter x,Basic Latin,,,
y,0079,121,latin small letter y,Basic Latin,,,
z,007A,122,latin small letter z,Basic Latin,,,
{,007B,123,left curly bracket,Basic Latin,lbrace lcub,,(
|,007C,124,vertical line,Basic Latin,VerticalLine verbar vert,,
},007D,125,right curly bracket,Basic Latin,rbrace rcub,,)
~,007E,126,tilde,Basic Latin,,,-
